title,author,isbn
Dragonfly in Amber,Diana Gabaldon,9780440215622
The Notebook,Nicholas Sparks,9780446605236
A Walk to Remember,Nicholas Sparks,9780446608954
Me Before You,Jojo Moyes,9780143124542
The Duke and I,Julia Quinn,9780062353597
The Hating Game,Sally Thorne,9780062439598
The Unhoneymooners,Christina Lauren,9781501128035
The Kiss Quotient,Helen Hoang,9780451490803
"Get a Life, Chloe Brown",Talia Hibbert,9780062941206
"Take a Hint, Dani Brown",Talia Hibbert,9780062941237
The Hunger Games,Suzanne Collins,9780439023528
Catching Fire,Suzanne Collins,9780439023498
Mockingjay,Suzanne Collins,9780439023511
The Ballad of Songbirds and Snakes,Suzanne Collins,9781338635171
The Fault in Our Stars,John Green,9780525478812
Looking for Alaska,John Green,9780142402511
Paper Towns,John Green,9780142414934
The Lightning Thief,Rick Riordan,9780786838653
The Sea of Monsters,Rick Riordan,9780786856862
The Battle of the Labyrinth,Rick Riordan,9781423101499
The Last Olympian,Rick Riordan,9781423101475
Divergent,Veronica Roth,9780062024039
Insurgent,Veronica Roth,9780062024046
Allegiant,Veronica Roth,9780062024060
Shadow and Bone,Leigh Bardugo,9781250027436
Six of Crows,Leigh Bardugo,9781627792127
Crooked Kingdom,Leigh Bardugo,9781627792134
A Court of Thorns and Roses,Sarah J. Maas,9781619634442
The Wind in the Willows,Kenneth Grahame,9780143039099
Pippi Longstocking,Astrid Lindgren,9780140309577
"Are You There God? It's Me, Margaret",Judy Blume,9781481409933
Bridge to Terabithia,Katherine Paterson,9780064401845
Tuck Everlasting,Natalie Babbitt,9780312369811
Island of the Blue Dolphins,Scott O'Dell,9780547328614
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,9780689711817
Number the Stars,Lois Lowry,9780547577098
Steve Jobs,Walter Isaacson,9781451648539
Leonardo da Vinci,Walter Isaacson,9781501139154
Benjamin Franklin: An American Life,Walter Isaacson,9780684807614
Alexander Hamilton,Ron Chernow,9780143034759
"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,9781400077304
Washington: A Life,Ron Chernow,9780143119968
Grant,Ron Chernow,9781594204876
The Diary of a Young Girl,Anne Frank,9780553296983
I Know Why the Caged Bird Sings,Maya Angelou,9780345514400
Becoming,Michelle Obama,9781524763138
A Promised Land,Barack Obama,9781524763169
Dreams from My Father,Barack Obama,9781400082773
Educated,Tara Westover,9780525510673
Born a Crime,Trevor Noah,9780399588174
When Breath Becomes Air,Paul Kalanithi,9780812988406
The Glass Castle,Jeannette Walls,9780743247542
The Autobiography of Malcolm X,Malcolm X and Alex Haley,9780345350688
Long Walk to Freedom,Nelson Mandela,9780316548182
Elon Musk,Ashlee Vance,9780062301239
John Adams,David McCullough,9780684813639
Truman,David McCullough,9780671869205
The Power Broker,Robert A. Caro,9780394720241
Night,Elie Wiesel,9780374500016
The Year of Magical Thinking,Joan Didion,9781400078431
Slouching Towards Bethlehem,Joan Didion,9780374521721
Just Kids,Patti Smith,9780060936228
Wild,Cheryl Strayed,9780307476074
Crying in H Mart,Michelle Zauner,9780525657743
Open,Andre Agassi,9780307388407
Can't Hurt Me,David Goggins,9781544512273
Kitchen Confidential,Anthony Bourdain,9780060934910
Collapse,Jared Diamond,9780143117001
Homo Deus,Yuval Noah Harari,9780062464316
21 Lessons for the 21st Century,Yuval Noah Harari,9780525512172
The Guns of August,Barbara W. Tuchman,9780345476098
A Distant Mirror,Barbara W. Tuchman,9780345349576
The Devil in the White City,Erik Larson,9780375725609
In the Garden of Beasts,Erik Larson,9780307408853
The Splendid and the Vile,Erik Larson,9780385348713
Killers of the Flower Moon,David Grann,9780385534246
The Lost City of Z,David Grann,9780385513531
The Wager,David Grann,9780385534260
Into Thin Air,Jon Krakauer,9780385494786
Into the Wild,Jon Krakauer,9780385486804
Under the Banner of Heaven,Jon Krakauer,9781400032808
A People's History of the United States,Howard Zinn,9780060838652
Caste: The Origins of Our Discontents,Isabel Wilkerson,9780593230251
Bloodlands: Europe Between Hitler and Stalin,Timothy Snyder,9780465031474
On Tyranny,Timothy Snyder,9780804190114
The Silk Roads,Peter Frankopan,9781101912379
D-Day: The Battle for Normandy,Antony Beevor,9780143118183
The Second World War,Antony Beevor,9780316023740
Postwar: A History of Europe Since 1945,Tony Judt,9780143037750
1776,David McCullough,9780743226721
The Wright Brothers,David McCullough,9781476728759
The Rise and Fall of the Third Reich,William L. Shirer,9781451651683
Bury My Heart at Wounded Knee,Dee Brown,9780805086843
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,9780385521314
Empire of Pain,Patrick Radden Keefe,9780385545686
Midnight in Chernobyl,Adam Higginbotham,9781501134616
The Republic,Plato,9780140455113
The Symposium,Plato,9780140449273
The Last Days of Socrates,Plato,9780140455496
Nicomachean Ethics,Aristotle,9780140449495
Politics,Aristotle,9780140444216
Letters from a Stoic,Seneca,9780140442106
Discourses and Selected Writings,Epictetus,9780140449464
The Prince,Niccolò Machiavelli,9780140449150
Leviathan,Thomas Hobbes,9780140431957
Meditations on First Philosophy,René Descartes,9780872201927
Ethics,Benedict de Spinoza,9780140435719
Two Treatises of Government,John Locke,9780521357302
An Enquiry Concerning Human Understanding,David Hume,9780199549900
The Social Contract,Jean-Jacques Rousseau,9780140442014
Critique of Pure Reason,Immanuel Kant,9780521657297
The World as Will and Representation,Arthur Schopenhauer,9780486217611
Fear and Trembling,Søren Kierkegaard,9780140444490
The Sickness Unto Death,Søren Kierkegaard,9780140445336
Beyond Good and Evil,Friedrich Nietzsche,9780140449235
Thus Spoke Zarathustra,Friedrich Nietzsche,9780140441185
On the Genealogy of Morals,Friedrich Nietzsche,9780679724629
The Gay Science,Friedrich Nietzsche,9780394719856
On Liberty,John Stuart Mill,9780140432077
Utilitarianism,John Stuart Mill,9780872206052
The Communist Manifesto,Karl Marx and Friedrich Engels,9780140447576
Being and Nothingness,Jean-Paul Sartre,9780671867805
The Second Sex,Simone de Beauvoir,9780307265562
Philosophical Investigations,Ludwig Wittgenstein,9781405159289
A History of Western Philosophy,Bertrand Russell,9780671201586
The Problems of Philosophy,Bertrand Russell,9780195115529
Discipline and Punish,Michel Foucault,9780679752554
The Order of Things,Michel Foucault,9780679753353
Justice: What's the Right Thing to Do?,Michael J. Sandel,9780374532505
The Daily Stoic,Ryan Holiday and Stephen Hanselman,9780735211735
The Man Who Mistook His Wife for a Hat,Oliver Sacks,9780684853949
Awakenings,Oliver Sacks,9780375704055
Musicophilia,Oliver Sacks,9781400033539
Man's Search for Meaning,Viktor E. Frankl,9780807014295
Influence: The Psychology of Persuasion,Robert B. Cialdini,9780061241895
Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert B. Cialdini,9781501109805
Mindset: The New Psychology of Success,Carol S. Dweck,9780345472328
Grit: The Power of Passion and Perseverance,Angela Duckworth,9781501111105
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,9781594484803
When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,9780735210622
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,9780061339202
The Body Keeps the Score,Bessel van der Kolk,9780143127741
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,9780307352156
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,9780307455772
The Happiness Hypothesis,Jonathan Haidt,9780465028023
The Anxious Generation,Jonathan Haidt,9780593655030
Think Again: The Power of Knowing What You Don't Know,Adam Grant,9781984878106
Originals: How Non-Conformists Move the World,Adam Grant,9780143128854
Predictably Irrational,Dan Ariely,9780061353246
The Upside of Irrationality,Dan Ariely,9780061995040
Emotional Intelligence,Daniel Goleman,9780553383713
Social Intelligence,Daniel Goleman,9780553384499
Daring Greatly,Brené Brown,9781592408412
The Gifts of Imperfection,Brené Brown,9781592858491
Cosmos,Carl Sagan,9780345539434
Pale Blue Dot,Carl Sagan,9780345376596
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,9780345409461
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,9780393316049
What Do You Care What Other People Think?,Richard P. Feynman,9780393320923
Six Easy Pieces,Richard P. Feynman,9780465025275
The Selfish Gene,Richard Dawkins,9780198788607
The Blind Watchmaker,Richard Dawkins,9780393351491
The God Delusion,Richard Dawkins,9780618918249
The Elegant Universe,Brian Greene,9780393058581
The Fabric of the Cosmos,Brian Greene,9780375727207
Seven Brief Lessons on Physics,Carlo Rovelli,9780399184413
The Order of Time,Carlo Rovelli,9780735216105
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,9781439170915
The Gene: An Intimate History,Siddhartha Mukherjee,9781476733524
The Song of the Cell,Siddhartha Mukherjee,9781982117351
The Immortal Life of Henrietta Lacks,Rebecca Skloot,9781400052189
A Short History of Nearly Everything,Bill Bryson,9780767908184
The Body: A Guide for Occupants,Bill Bryson,9780385539302
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,9781501144325
Silent Spring,Rachel Carson,9780618249060
The Double Helix,James D. Watson,9780743216302
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,9781250062185
The Origin of Species,Charles Darwin,9780140432053
The Voyage of the Beagle,Charles Darwin,9780140432688
Entangled Life,Merlin Sheldrake,9780525510314
"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,9780465026562
The Structure of Scientific Revolutions,Thomas S. Kuhn,9780226458120
Chaos: Making a New Science,James Gleick,9780143113454
"The Information: A History, a Theory, a Flood",James Gleick,9781400096237
I Am a Strange Loop,Douglas R. Hofstadter,9780465030798
The Mythical Man-Month,Frederick P. Brooks Jr.,9780201835953
Clean Code,Robert C. Martin,9780132350884
The Clean Coder,Robert C. Martin,9780137081073
Clean Architecture,Robert C. Martin,9780134494166
The Pragmatic Programmer,David Thomas and Andrew Hunt,9780135957059
Design Patterns,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",9780201633610
Refactoring: Improving the Design of Existing Code,Martin Fowler,9780134757599
Code Complete,Steve McConnell,9780735619678
Structure and Interpretation of Computer Programs,Harold Abelson and Gerald Jay Sussman,9780262510875
The Phoenix Project,"Gene Kim, Kevin Behr, George Spafford",9780988262591
The DevOps Handbook,"Gene Kim, Jez Humble, Patrick Debois, John Willis",9781942788003
Accelerate,"Nicole Forsgren, Jez Humble, Gene Kim",9781942788331
Designing Data-Intensive Applications,Martin Kleppmann,9781449373320
Zero to One,Peter Thiel and Blake Masters,9780804139298
Good to Great,Jim Collins,9780066620992
Built to Last,Jim Collins and Jerry I. Porras,9780060516406
The Innovator's Dilemma,Clayton M. Christensen,9781633691780
Principles: Life and Work,Ray Dalio,9781501124020
The Hard Thing About Hard Things,Ben Horowitz,9780062273208
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,9781501135927
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,9781524731656
The Big Short,Michael Lewis,9780393338829
Moneyball,Michael Lewis,9780393324815
Flash Boys,Michael Lewis,9780393351590
Liar's Poker,Michael Lewis,9780393027501
The Intelligent Investor,Benjamin Graham,9780060555665
The Psychology of Money,Morgan Housel,9780857197689
The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,9781400063512
Fooled by Randomness,Nassim Nicholas Taleb,9780812975215
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,9781400067824
Skin in the Game,Nassim Nicholas Taleb,9780425284629
Freakonomics,Steven D. Levitt and Stephen J. Dubner,9780060731335
SuperFreakonomics,Steven D. Levitt and Stephen J. Dubner,9780060889579
Capital in the Twenty-First Century,Thomas Piketty,9780674430006
The Wealth of Nations,Adam Smith,9780140436150
"The General Theory of Employment, Interest, and Money",John Maynard Keynes,9780156347112
The Road to Serfdom,F.A. Hayek,9780226320557
Thinking in Bets,Annie Duke,9780735216358
Atomic Habits,James Clear,9780735211292
Deep Work,Cal Newport,9781455586691
So Good They Can't Ignore You,Cal Newport,9781455509126
Digital Minimalism,Cal Newport,9780525536512
Slow Productivity,Cal Newport,9780593544853
The 7 Habits of Highly Effective People,Stephen R. Covey,9781982137274
Getting Things Done: The Art of Stress-Free Productivity,David Allen,9780143126560
The 4-Hour Workweek,Timothy Ferriss,9780307465351
The Subtle Art of Not Giving a F*ck,Mark Manson,9780062457714
Everything Is F*cked: A Book About Hope,Mark Manson,9780062888433
How to Win Friends and Influence People,Dale Carnegie,9780671027032
Think and Grow Rich,Napoleon Hill,9781585424337
The 48 Laws of Power,Robert Greene,9780140280197
Mastery,Robert Greene,9780143124177
The Laws of Human Nature,Robert Greene,9780525428145
Ego Is the Enemy,Ryan Holiday,9781591847816
The Obstacle Is the Way,Ryan Holiday,9781591846352
Stillness Is the Key,Ryan Holiday,9780525538585
Courage Is Calling,Ryan Holiday,9780593191675
The Four Agreements,Don Miguel Ruiz,9781878424310
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,9780804137386
Effortless: Make It Easier to Do What Matters Most,Greg McKeown,9780593135648
Make Time: How to Focus on What Matters Every Day,Jake Knapp and John Zeratsky,9780525572428
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,9780358003328
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,9780374159122
The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,9780865478015
The Origins of Totalitarianism,Hannah Arendt,9780156701532
Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,9780143039884
The Human Condition,Hannah Arendt,9780226025988
Democracy in America,Alexis de Tocqueville,9780140447606
The Wretched of the Earth,Frantz Fanon,9780802141323
"Black Skin, White Masks",Frantz Fanon,9780802143006
Orientalism,Edward W. Said,9780394740676
Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman and Noam Chomsky,9780375714498
Basic Economics,Thomas Sowell,9780465060733
The End of History and the Last Man,Francis Fukuyama,9780743284554
The Origins of Political Order,Francis Fukuyama,9780374533229
Political Order and Political Decay,Francis Fukuyama,9780374535629
The Better Angels of Our Nature,Steven Pinker,9780143122012
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,9780525427575
The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,9780142003343
Between the World and Me,Ta-Nehisi Coates,9780812993547
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,9781595586438
Evicted: Poverty and Profit in the American City,Matthew Desmond,9780553447453
"Poverty, by America",Matthew Desmond,9780593239919
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoglu and James A. Robinson,9780307719225
The Narrow Corridor,Daron Acemoglu and James A. Robinson,9780735224407
How Democracies Die,Steven Levitsky and Daniel Ziblatt,9781524762940
The Clash of Civilizations and the Remaking of World Order,Samuel P. Huntington,9781451628975
The Tipping Point,Malcolm Gladwell,9780316346627
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,9780316010665
Outliers: The Story of Success,Malcolm Gladwell,9780316017930
David and Goliath,Malcolm Gladwell,9780316204378
Talking to Strangers,Malcolm Gladwell,9780316478526
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,9780143038580
In Defense of Food: An Eater's Manifesto,Michael Pollan,9780143114963
How to Change Your Mind,Michael Pollan,9781594204227
Cooked: A Natural History of Transformation,Michael Pollan,9781594204210
The Botany of Desire,Michael Pollan,9780375760396
The Perfect Storm,Sebastian Junger,9780393337013
War,Sebastian Junger,9780446556248
Tribe: On Homecoming and Belonging,Sebastian Junger,9781455566389
Notes from a Small Island,Bill Bryson,9780380727506
At Home: A Short History of Private Life,Bill Bryson,9780767919395
"One Summer: America, 1927",Bill Bryson,9780767919418
In a Sunburned Country,Bill Bryson,9780767903868
Quiet Leadership,David Rock,9780060835903
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,9780812984965
Factfulness: Ten Reasons We're Wrong About the World,Hans Rosling,9781250107817
Range: Why Generalists Triumph in a Specialized World,David Epstein,9780735214484
Walden,Henry David Thoreau,9780140390445
The Waste Land,T.S. Eliot,9780156948777
The Canterbury Tales,Geoffrey Chaucer,9780140424386
Beowulf,Seamus Heaney,9780393320978
Essays,Michel de Montaigne,9780140446043
Common Sense,Thomas Paine,9780140390162
Self-Reliance and Other Essays,Ralph Waldo Emerson,9780486277905
Medea,Euripides,9780140441291
Tartuffe,Molière,9780156881807
Waiting for Godot,Samuel Beckett,9780802144423
Endgame,Samuel Beckett,9780802144393
The Importance of Being Earnest,Oscar Wilde,9780486264783
Death of a Salesman,Arthur Miller,9780140481341
The Crucible,Arthur Miller,9780142437339
A Streetcar Named Desire,Tennessee Williams,9780811216029
The Glass Menagerie,Tennessee Williams,9780811214049
Dune Messiah,Frank Herbert,9780593098233
God Emperor of Dune,Frank Herbert,9780593098257
Seveneves,Neal Stephenson,9780062190376
A Fire Upon the Deep,Vernor Vinge,9780312851828
Matter,Iain M. Banks,9780316005364
Surface Detail,Iain M. Banks,9780316123402
The Hydrogen Sonata,Iain M. Banks,9780316212366
Revelation Space,Alastair Reynolds,9780441009428
Chasm City,Alastair Reynolds,9780441010646
Perdido Street Station,China Miéville,9780345459404
The Scar,China Miéville,9780345460011
Iron Council,China Miéville,9780345458421
Embassytown,China Miéville,9780345524508
Red Rising,Pierce Brown,9780345539786
Golden Son,Pierce Brown,9780345539816
Morning Star,Pierce Brown,9780345539847
Iron Gold,Pierce Brown,9780425285916
Dark Age,Pierce Brown,9780425285947
Light Bringer,Pierce Brown,9780425285978
A Desolation Called Peace,Arkady Martine,9781250186461
Gideon the Ninth,Tamsyn Muir,9781250313188
Harrow the Ninth,Tamsyn Muir,9781250313225
Nona the Ninth,Tamsyn Muir,9781250854117
Legends & Lattes,Travis Baldree,9781250886088
The Witness for the Dead,Katherine Addison,9780765387424
The Grief of Stones,Katherine Addison,9781250813893
The House in the Cerulean Sea,TJ Klune,9781250217288
Under the Whispering Door,TJ Klune,9781250217349
In the Lives of Puppets,TJ Klune,9781250217448
The Postman Always Rings Twice,James M. Cain,9780679723257
Double Indemnity,James M. Cain,9780679723226
L.A. Confidential,James Ellroy,9780446674249
The Snowman,Jo Nesbø,9780307742995
The Bat,Jo Nesbø,9780345807090
The Redbreast,Jo Nesbø,9780061133992
Books of Blood,Clive Barker,9780425165584
Weaveworld,Clive Barker,9780743417358
Imajica,Clive Barker,9780060937263
Swan Song,Robert R. McCammon,9781439156735
Watchers,Dean Koontz,9780425188804
Intensity,Dean Koontz,9780345533371
Phantoms,Dean Koontz,9780425181102
Odd Thomas,Dean Koontz,9780553584493
Stiff: The Curious Lives of Human Cadavers,Mary Roach,9780393324822
Bonk: The Curious Coupling of Science and Sex,Mary Roach,9780393334791
Gulp: Adventures on the Alimentary Canal,Mary Roach,9780393348743
Fuzz: When Nature Breaks the Law,Mary Roach,9781324036128
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,9780312421700
Better: A Surgeon's Notes on Performance,Atul Gawande,9780312427658
The Checklist Manifesto: How to Get Things Right,Atul Gawande,9780312430009
Being Mortal: Medicine and What Matters in the End,Atul Gawande,9781250076229
The Professor and the Madman,Simon Winchester,9780060839789
Krakatoa: The Day the World Exploded,Simon Winchester,9780060838591
Cod: A Biography of the Fish That Changed the World,Mark Kurlansky,9780140275018
Salt: A World History,Mark Kurlansky,9780142001615
The Diversity of Life,Edward O. Wilson,9780393319408
The Social Conquest of Earth,Edward O. Wilson,9780871403636
Letters to a Young Scientist,Edward O. Wilson,9780871403858
The Panda's Thumb,Stephen Jay Gould,9780393308198
The Mismeasure of Man,Stephen Jay Gould,9780393314250
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,9780393307009
Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,9780393353662
Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Frans de Waal,9780393357837
Life on Earth,David Attenborough,9780008294281
A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,9781538719985
Rubicon: The Last Years of the Roman Republic,Tom Holland,9781400078974
Millennium: The End of the World and the Forging of Christendom,Tom Holland,9780349119724
Dynasty: The Rise and Fall of the House of Caesar,Tom Holland,9780385537841
SPQR: A History of Ancient Rome,Mary Beard,9781631492228
The Roman Triumph,Mary Beard,9780674032187
Twelve Caesars: Images of Power from the Ancient World to the Modern,Mary Beard,9780691222363
Alexander the Great,Robin Lane Fox,9780141020761
The Classical World: An Epic History from Homer to Hadrian,Robin Lane Fox,9780465024971
Gorbachev: His Life and Times,William Taubman,9780393647013
Khrushchev: The Man and His Era,William Taubman,9780393324846
Stalin: The Court of the Red Tsar,Simon Sebag Montefiore,9781400076789
Young Stalin,Simon Sebag Montefiore,9781400096138
Jerusalem: The Biography,Simon Sebag Montefiore,9780307280503
The Romanovs: 1613-1918,Simon Sebag Montefiore,9780307280510
The War of the Worlds,H.G. Wells,9780141441030
The Island of Doctor Moreau,H.G. Wells,9780141441023
Around the World in Eighty Days,Jules Verne,9780140449068
Journey to the Centre of the Earth,Jules Verne,9780141441979
The Three Musketeers,Alexandre Dumas,9780140440256
The Man in the Iron Mask,Alexandre Dumas,9780199537259
Notre-Dame of Paris,Victor Hugo,9780140443530
Gargantua and Pantagruel,François Rabelais,9780140445503
The Prince and the Pauper,Mark Twain,9780140436693
Northanger Abbey,Jane Austen,9780141439792
Mansfield Park,Jane Austen,9780141439808
Silas Marner,George Eliot,9780141439754
The Mill on the Floss,George Eliot,9780141439624
Far from the Madding Crowd,Thomas Hardy,9780141439655
The Mayor of Casterbridge,Thomas Hardy,9780141439785
Jude the Obscure,Thomas Hardy,9780140435382
Lady Chatterley's Lover,D.H. Lawrence,9780141441498
Sons and Lovers,D.H. Lawrence,9780141441443
Women in Love,D.H. Lawrence,9780141441542
The Rainbow,D.H. Lawrence,9780141441382
